true,pred
1.9999999552965164,42.59375
27.000001072883606,33.875
31.00000023841858,37.3125
30.000001192092896,32.84375
31.00000023841858,27.09375
28.00000011920929,38.34375
81.99999928474426,49.5
31.00000023841858,23.796875
21.99999988079071,31.734375
41.999998688697815,43.53125
3.999999910593033,24.921875
44.999998807907104,38.78125
31.999999284744263,25.03125
43.00000071525574,35.21875
49.000000953674316,36.84375
23.000000417232513,41.8125
34.00000035762787,30.03125
18.000000715255737,26.21875
40.00000059604645,53.8125
15.000000596046448,29.984375
7.000000029802322,52.4375
23.000000417232513,36.75
20.000000298023224,29.15625
10.999999940395355,24.65625
7.999999821186066,29.171875
100.0,65.8125
37.99999952316284,27.953125
15.999999642372131,28.15625
34.99999940395355,32.84375
34.00000035762787,33.4375
27.000001072883606,37.34375
28.999999165534973,59.46875
5.000000074505806,26.828125
15.000000596046448,23.015625
92.00000166893005,45.03125
25.999999046325684,33.9375
25.0,20.546875
34.00000035762787,46.21875
27.000001072883606,26.5625
40.99999964237213,46.34375
23.000000417232513,31.984375
40.00000059604645,58.0
41.999998688697815,30.21875
36.000001430511475,33.40625
67.00000166893005,65.625
25.0,32.21875
57.999998331069946,45.8125
62.00000047683716,46.59375
33.000001311302185,30.328125
100.0,44.21875
40.99999964237213,49.84375
40.00000059604645,54.34375
62.00000047683716,47.59375
25.0,46.8125
23.999999463558197,58.4375
20.000000298023224,29.296875
18.99999976158142,40.875
25.0,29.078125
33.000001311302185,40.5
20.000000298023224,27.34375
31.999999284744263,43.65625
36.000001430511475,26.421875
43.00000071525574,37.3125
2.9999999329447746,27.421875
12.999999523162842,26.0
50.999999046325684,46.4375
56.00000023841858,45.25
56.00000023841858,47.25
7.000000029802322,32.09375
47.999998927116394,37.4375
25.999999046325684,30.765625
15.999999642372131,20.28125
51.99999809265137,34.84375
37.00000047683716,28.25
62.99999952316284,46.03125
27.000001072883606,32.34375
41.999998688697815,68.875
34.00000035762787,29.4375
15.000000596046448,24.203125
49.000000953674316,28.984375
33.000001311302185,31.25
37.00000047683716,35.8125
79.00000214576721,56.0
76.99999809265137,37.25
23.999999463558197,32.65625
18.99999976158142,32.75
25.999999046325684,39.40625
40.00000059604645,36.875
21.99999988079071,24.515625
28.00000011920929,28.03125
25.0,25.640625
34.00000035762787,41.6875
66.00000262260437,34.75
56.00000023841858,33.90625
30.000001192092896,33.125
76.99999809265137,46.09375
34.99999940395355,43.125
33.000001311302185,26.46875
28.00000011920929,37.03125
31.999999284744263,28.4375
23.999999463558197,33.4375
23.000000417232513,36.40625
28.999999165534973,32.6875
68.00000071525574,53.28125
31.999999284744263,29.375
50.999999046325684,45.34375
10.000000149011612,30.9375
87.99999952316284,40.34375
28.999999165534973,27.734375
41.999998688697815,36.15625
12.999999523162842,23.015625
